 	Sigma1	Sigma2	Distance	Sigma
648	2.51	1.77	28.48	3.071318935
649	3.67	1.35	8.76	3.910421972
650	3.31	1.37	16.63	3.582317686
651	2.94	1.75	15.83	3.421417835
652	3.55	1.56	20.95	3.877641035
653	1.14	0.77	4.64	1.375681649
654	1.22	0.84	11.26	1.481215717
655	1.2	0.8	7.73	1.44222051
656	1.2	0.97	11.2	1.543016526
657	1.22	1.19	8.89	1.70425937
658	1.44	1.11	1.55	1.818158409
659	1.22	1.61	4.7	2.020024752
660	1.32	1.17	9.75	1.763887752
661	1.22	1.29	10.43	1.77552809
662	1.04	1.46	20.19	1.792540097
663	3.95	2.15	12.89	4.497221364
664	1.43	1.33	7.96	1.952895286
665	1.35	1.39	6.48	1.937679024
666	1.4	1.43	10.46	2.001224625
667	1.4	1.13	2.01	1.799138683
668	1.23	0.85	9.9	1.495125413
669	1.44	1.17	5.25	1.855397532
670	1.2	0.97	11.2	1.543016526
671	1.52	1.23	11.36	1.95532606
672	1.22	1.19	8.89	1.70425937
673	1.55	1.3	6.93	2.022992832
674	1.44	1.11	1.55	1.818158409
675	1.46	1.3	2.58	1.954891301
676	1.22	1.61	4.7	2.020024752
677	1.28	1.34	15.68	1.853105502
678	1.32	1.17	9.75	1.763887752
679	1.22	1.31	14.97	1.790111728
680	1.22	1.29	10.43	1.77552809
681	1.48	1.2	14.4	1.905360858
682	1.53	1.22	18.8	1.956859729
683	1.04	1.46	20.19	1.792540097
684	1.47	1.26	25.53	1.936104336
685	1.56	1.26	11.6	2.005292996
686	1.88	1.25	11.62	2.257631502
687	2.03	1.42	12.2	2.477357463
688	1.91	1.27	10.24	2.293686988
689	1.88	1.39	10.31	2.338054747
690	1.64	1.26	8.82	2.06813926
691	1.79	1.6	7.01	2.400854015
692	1.65	1.48	5.3	2.21650626
693	1.69	1.84	11.22	2.498339449
694	1.84	1.83	4.39	2.595091521
695	2.4	1.58	7.7	2.873395204
696	2.03	2.68	4.78	3.362038072
697	1.96	2.39	9.42	3.090906016
698	2.93	2.88	3.65	4.108442527
699	2.9	2.97	7.73	4.151011925
700	2.87	3.19	7.46	4.291037171
701	2.88	2.98	4.83	4.144249027
702	3.05	3.02	4.8	4.292190583
703	3.49	4.29	17.71	5.530298364
704	2.25	2.89	19.76	3.662594709
705	2.56	3.05	26.47	3.981971873
706	2.56	2.28	9.39	3.428119018
707	2.16	2.53	10.3	3.326634936
708	2.64	2.33	18.2	3.52115038
709	3.26	2.69	15.24	4.226547054
710	3.76	2.75	13.91	4.658336613
711	2.64	3.06	10.68	4.041435389
712	1.61	1.23	13.93	2.026079959
713	1.51	1.31	19.78	1.999049774
714	1.48	1.26	26.09	1.943707797
715	1.6	1.2	16.69	2
716	1.29	1.12	24.7	1.708361788
717	1.71	1.32	21.13	2.160208323
718	2.11	1.41	15.12	2.537754913
719	1.95	1.31	18.18	2.349170066
720	2.22	1.3	26.21	2.572625118
721	3.25	3.4	7.72	4.703456176
722	4.54	2.87	4.51	5.371079966
723	3.01	3.43	8.51	4.563441684
724	4.13	3.46	14.6	5.387810316
725	1.86	0.73	14.26	1.99812412
726	1.43	0.74	11.69	1.610124219
727	1.4	0.8	9.43	1.61245155
728	1.52	0.8	11.93	1.717672844
729	1.61	0.77	11.41	1.78465683
730	1.58	0.83	16.82	1.784740878
731	3.83	4.46	10.18	5.878817908
732	1.74	0.83	21.38	1.927822606
733	1.62	0.9	14.25	1.853213425
734	3.56	3.87	12.79	5.258374273
735	1.62	0.93	4.91	1.867966809
736	1.52	0.89	11.72	1.761391495
737	2.94	3.75	13.78	4.765091814
738	1.9	0.88	15.71	2.09389589
739	1.4	0.85	20.36	1.637833935
740	1.3	0.84	15.24	1.547772593
741	3.17	4.8	6.75	5.752295194
742	1.78	0.92	27.65	2.003696584
743	1.76	0.88	22.21	1.96773982
744	1.46	0.94	18.33	1.736433126
745	1.76	0.94	18.27	1.995294464
746	1.71	0.84	20.13	1.905177157
747	1.69	0.85	28.07	1.891718795
748	3.25	3.4	7.72	4.703456176
749	4.54	2.87	4.51	5.371079966
750	3.01	3.43	8.51	4.563441684
751	4.13	3.46	14.6	5.387810316
752	1.71	2.15	12.74	2.74710757
753	2.12	1.63	5.68	2.674191467
754	2.41	1.56	5.78	2.870836115
755	2.83	1.27	5.49	3.101902642
756	1.9	1.5	17.07	2.420743687
757	2.91	1.39	1.09	3.224934108
758	2.09	1.52	21.68	2.584279397
759	2.33	1.38	18.11	2.708006647
760	3.42	1.63	8.1	3.78857493
761	2.13	1.51	9.78	2.610938529
762	2.43	1.47	5.45	2.840035211
763	2.81	2.5	2.9	3.761130149
764	2.36	1.49	8.43	2.791003404
765	3.14	3.02	6.84	4.356604182
766	2.61	1.74	6.22	3.13682961
767	3.27	1.81	31.22	3.737512542
768	3.11	1.63	23.83	3.511267577
